City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alofi,-19.0595,-169.9187,293.09,94,51,0.51,NU,1684870902
84,yellowknife,62.456,-114.3525,287.44,38,75,9.26,CA,1684870888
85,fale old settlement,-9.3852,-171.2468,301.21,72,59,3.59,TK,1684870654
86,invercargill,-46.4,168.35,280.9,75,86,3.98,NZ,1684870666
87,minas de marcona,-15.2119,-75.1103,292.38,62,62,6.6,PE,1684870674
88,cururupu,-1.8283,-44.8683,301.66,74,71,2.21,BR,1684870904
89,tateyama,34.9833,139.8667,288.41,77,84,6.4,JP,1684870905
90,tazacorte,28.629,-17.9293,292.69,78,75,2.57,ES,1684870716
91,basco,20.4487,121.9702,299.67,81,96,7.73,PH,1684870905
92,san antonio de pale,-1.4014,5.6325,299.49,81,96,2.23,GQ,1684870906
93,mount pearl,47.5166,-52.7813,277.01,95,100,6.69,CA,1684870755
94,fada,9.5667,8.3,296.63,90,100,0.32,NG,1684870906
95,college,64.8569,-147.8028,290.7,41,20,3.09,US,1684870649
96,carutapera,-1.195,-46.02,299.64,92,95,2.78,BR,1684870907
97,vanimo,-2.6741,141.3028,298.93,86,100,0.33,PG,1684870672
98,hamilton,39.1834,-84.5333,301.93,48,0,3.09,US,1684870831
99,mossel bay,-34.1831,22.146,288.0,82,52,1.39,ZA,1684870908
100,longyearbyen,78.2186,15.6401,277.06,70,75,3.6,SJ,1684870892
101,vidalia,32.2177,-82.4135,295.03,83,100,2.06,US,1684870909
102,villamaria,5.0449,-75.5146,295.41,98,100,0.64,CO,1684870910
103,rongelap,11.1635,166.8941,301.14,76,97,6.93,MH,1684870688
104,wailua homesteads,22.0669,-159.378,298.59,79,75,5.14,US,1684870649
105,ribeira grande,38.5167,-28.7,292.47,72,40,4.63,PT,1684870911
106,uturoa,-16.7333,-151.4333,299.6,82,77,5.19,PF,1684870690
107,rio claro,-22.4114,-47.5614,294.14,62,0,0.83,BR,1684870912
108,east london,-33.0153,27.9116,289.63,64,0,3.07,ZA,1684870912
109,moose jaw,50.4001,-105.5344,297.3,46,75,3.09,CA,1684870837
110,hithadhoo,-0.6,73.0833,301.07,74,16,2.96,MV,1684870665
111,znamenskoye,57.1281,73.8282,284.39,55,40,2.1,RU,1684870913
112,paradip garh,20.3167,86.6167,301.63,87,19,5.96,IN,1684870914
113,labytnangi,66.6572,66.4183,281.22,58,61,2.33,RU,1684870914
114,namtsy,62.7161,129.6658,275.06,73,69,0.95,RU,1684870915
115,afaahiti,-17.75,-149.2833,300.08,88,69,6.74,PF,1684870698
116,sunzha,43.3211,45.0522,292.34,85,8,0.93,RU,1684870916
117,khost,33.3395,69.9204,294.62,57,54,2.02,AF,1684870917
118,papatowai,-46.5619,169.4708,280.14,82,74,3.73,NZ,1684870662
119,kolonia town,6.964,158.206,298.15,94,100,1.03,FM,1684870918
120,jumla,29.2747,82.1838,287.34,80,100,0.95,NP,1684870919
121,horta,38.5333,-28.6333,292.05,77,40,4.63,PT,1684870750
122,nuuk,64.1835,-51.7216,272.49,80,100,10.29,GL,1684870703
123,st. john's,47.5649,-52.7093,277.47,95,100,7.6,CA,1684870920
124,kyaikkami,16.08,97.5675,301.04,80,100,3.53,MM,1684870920
125,kenai,60.5544,-151.2583,284.2,50,100,6.17,US,1684870752
126,fort bragg,35.139,-79.006,299.93,49,75,5.66,US,1684870716
127,dingcheng,32.1272,115.0394,289.47,91,100,2.45,CN,1684870921
128,georgetown,5.4112,100.3354,302.12,74,20,1.54,MY,1684870616
129,trairi,-3.2778,-39.2689,299.07,90,48,4.29,BR,1684870874
130,papao,-17.75,-149.55,300.97,89,100,5.79,PF,1684870923
131,el calafate,-50.3408,-72.2768,274.9,77,13,1.44,AR,1684870885
132,omdurman,15.6445,32.4777,308.55,6,0,1.66,SD,1684870923
133,gamba,-2.65,10.0,297.91,94,91,2.25,GA,1684870924
134,sodankyla,67.4167,26.6,285.13,84,90,2.05,FI,1684870924
135,vorgashor,67.5833,63.95,279.94,80,76,2.98,RU,1684870650
136,horqueta,-23.3428,-57.0597,303.32,45,0,2.69,PY,1684870925
137,igarka,67.4667,86.5833,272.8,86,47,7.8,RU,1684870666
138,etampes,48.4333,2.15,288.49,70,93,6.14,FR,1684870926
139,hadibu,12.65,54.0333,302.5,71,11,3.53,YE,1684870926
140,bredasdorp,-34.5322,20.0403,285.6,87,84,1.71,ZA,1684870927
141,fort st. john,56.2499,-120.8529,282.09,81,100,4.12,CA,1684870927
142,udachny,66.4167,112.4,275.07,80,78,2.98,RU,1684870657
143,obihiro,42.9172,143.2044,278.89,91,77,0.89,JP,1684870928
144,callao,-12.0667,-77.15,297.31,64,100,6.17,PE,1684870929
145,dubrovka,53.6907,33.5071,285.86,90,100,2.22,RU,1684870929
146,olonkinbyen,70.9221,-8.7187,274.63,99,100,5.79,SJ,1684870765
147,along,28.1667,94.7667,293.18,97,100,1.02,IN,1684870930
148,lebu,-37.6167,-73.65,286.43,67,4,6.99,CL,1684870648
149,joao pinheiro,-17.7425,-46.1725,296.49,40,94,2.76,BR,1684870931
150,viedma,-40.8135,-62.9967,291.06,66,100,7.05,AR,1684870670
151,tongouson,5.0214,120.1328,301.59,74,14,1.76,PH,1684870932
152,portland,45.5234,-122.6762,292.36,49,100,1.54,US,1684870760
153,kingston,17.997,-76.7936,303.68,75,20,5.14,JM,1684870901
154,kutahya,39.4242,29.9833,284.56,92,69,1.06,TR,1684870933
155,acarau,-2.8856,-40.12,300.28,84,94,6.51,BR,1684870669
156,new norfolk,-42.7826,147.0587,286.87,70,75,2.91,AU,1684870934
157,kokopo,-4.352,152.2633,298.82,85,55,6.01,PG,1684870934
158,urzhar,47.093,81.6294,285.32,55,0,3.77,KZ,1684870935
159,kodinsk,58.6881,99.1844,275.31,88,44,4.5,RU,1684870883
160,howrah,22.5892,88.3103,298.15,83,40,1.54,IN,1684870713
